Location,Date,Min Delay,stop_lat,stop_lon,stop_id,predictions
KIPLING STATION,2023-10-01,18.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-02,9.666666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-03,12.25,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-05,23.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-06,16.333333333333332,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-07,13.666666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-08,17.333333333333332,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-09,11.25,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-10,7.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-11,10.333333333333334,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-12,9.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-13,18.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-14,8.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-15,14.166666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-16,11.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-17,7.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-18,14.6,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-19,12.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-20,8.666666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-21,23.333333333333332,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-22,13.4,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-23,13.2,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-25,15.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-26,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-27,16.571428571428573,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-28,17.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-29,14.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-30,13.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-10-31,6.666666666666667,43.637209,-79.536117,59,14.577773
